OBJECTID,X Coordinate (Local Projection),Y Coordinate (Local Projection),Type of Bias,Count of Victims,RMS ID,Status of Crime,Type of Offense/Crime,Notes on Crime,Type of Location,Type of Victim,Race of Victims,Gender of Victim(s),Date of Crime,Obfuscated Address of Crime,Date of Status Change,Created On,Last Edited On,Latitude,Longitude,Type of Bias,x,y
449,-12460795,3946004,,5,T2023128589,Early Case Closure,Criminal Damage,,Residence/Home,,,,11/5/2023 7:00:00 AM,1XX E Minton Dr,,12/24/2023 10:33:16 PM,12/24/2023 10:33:16 PM,33.38114043,-111.93722373,11,693728.319553807,866202.114173226
450,-12461329,3951079,,1,T2023130458,Open,Aggravated Criminal Damage,,Church,,,,11/10/2023 7:00:00 AM,9XX S Ash Ave,,12/24/2023 10:35:09 PM,12/24/2023 10:35:09 PM,33.41920273,-111.94202556,21,692265.938976377,880051.280183725
451,-12461330,3951080,,1,T2023130398,Open,Aggravated Criminal Damage,,Church/Synagogue/Temple/Mosque,,,,11/10/2023 7:00:00 AM,900 S Ash Ave,,12/24/2023 10:37:21 PM,12/24/2023 10:37:21 PM,33.41920721,-111.94203025,21,692264.507217847,880052.909776904
452,-12462586,3950231,,1,T2023135779,Open,Threat/Intimidate Person,,Church/Synagogue/Temple/Mosque,,,,11/24/2023 7:00:00 AM,9XX Parkway Blvd,,12/24/2023 10:40:33 PM,12/24/2023 10:40:33 PM,33.41284401,-111.95331657,21,688820.052165356,877738.702099741
844,-12459263,3950561,,1,TE2023-35499,Closed,Aggravated Assault,,Hotel/Motel,,Black,Male,3/29/2023 7:00:00 AM,10XX E Apache Blvd,,7/7/2023 4:26:53 PM,12/19/2023 9:51:25 PM,33.41532053,-111.92345996,12,697930.514435697,878637.875984251
845,-12457659,3950368,,4,TE202358628,Closed,Assault,,Resturant,,,,5/21/2023 7:00:00 AM,13XX S McClintock Dr,,7/7/2023 5:01:03 PM,7/7/2023 5:01:03 PM,33.41386849,-111.90905208,32,702326.828740157,878109.57152231
846,-12460760,3951732,,1,TE202359714,Open,Aggravated Criminal Damage,,Church/Synagogue/Temple/Mosque,,,,5/24/2023 7:00:00 AM,1XX E 6th St,,7/7/2023 5:06:11 PM,7/7/2023 5:17:30 PM,33.42409337,-111.93691117,24,693826.768044621,881830.388451442
847,-12460760,3951732,,1,TE202360995,Early Case Closure,Aggravated Criminal Damage,,Church/Synagogue/Temple/Mosque,,,,5/27/2023 7:00:00 AM,1XX E 6th St,,7/7/2023 5:07:43 PM,7/7/2023 5:07:43 PM,33.42409337,-111.93691117,24,693826.768044621,881830.388451442
848,-12460931,3951845,,1,TE202364865,Inactive,Criminal Damage,,Highway/Road/Alley/Street/Sidewalk,,,,6/5/2023 7:00:00 AM,3X E 5th St,,7/7/2023 5:09:32 PM,7/7/2023 5:09:32 PM,33.42494404,-111.9384454,41,693358.742454067,882139.997703411
849,-12458884,3941785,,1,TE202365312,Early Case Closure,Criminal Damage,,Residence/Home,,White,Male,6/6/2023 7:00:00 AM,12XX E Brentrup Dr,,7/7/2023 5:11:27 PM,12/24/2023 10:27:38 PM,33.34948689,-111.92005743,41,698967.950131234,854684.538057745
850,-12460762,3951732,,1,TE202368901,Inactive,Aggravated Criminal Damage,,Church/Synagogue/Tempe/Mosque,,,,6/15/2023 7:00:00 AM,1XX E 6th St,,7/7/2023 5:13:02 PM,12/24/2023 10:28:57 PM,33.42409785,-111.93693263,24,693820.221784778,881832.018700786
851,-12458257,3950545,,1,TE202369626,Inactive,Theft Other,,Government/Public Building,,,,6/17/2023 7:00:00 AM,14XX E Apache Blvd,,7/7/2023 5:14:32 PM,12/24/2023 10:29:22 PM,33.41519879,-111.91442747,41,700686.598097112,878593.520013124
852,-12459808,3953845,,1,TE202369653,Early Case Closure,Theft Other,,Government/Public Building,,,,6/17/2023 7:00:00 AM,7XX E Curry Rd,,7/7/2023 5:15:53 PM,12/24/2023 10:29:48 PM,33.43993698,-111.92836272,41,696435.542322833,887594.662729658
853,-12459685,3939738,,1,TE202373339,Early Case Closure,Theft Other,,Church/Synagogue/Tempe/Mosque,,,,6/26/2023 7:00:00 AM,9XX E Warner Rd,,7/7/2023 5:17:30 PM,7/7/2023 5:17:30 PM,33.33412718,-111.92725815,41,696768.569225721,849096.156496063
